name,price,Sale_price,desc,URL
【Logitech 羅技】MK235 無線鍵盤滑鼠組,"


599元








","
599元",●系統需求Windows7、Windows8、Windows10或更高版本ChromeOSLinuxkernel2.6+USB連接埠●尺寸鍵盤高度:137.5公釐(5.41英寸)寬度:435.5公釐(17.15英寸)深度:20.5公釐(0.81英寸)重量:475公克(1.05磅)(含2顆3號AAA電池)重量:425公克(15.0盎司)(不含電池)滑鼠高度:97.7公釐(3.85英寸)寬度:61.5公釐(2.42英寸)深度:35.2公釐(1.39英寸)重量:70.5克(2.49盎司)超小型接收器高度:18.7公釐(0.74英寸)寬度:14.4公釐(0.57英寸)深度:6.6公釐(0.24英寸)重量:2.0公克(0.07盎司)●技術規格連線類型：使用超小型USB接收器的羅技非Unifying協定(2.4GHz)無線接收範圍：10公尺/33英尺無線加密：裝置和接收器之間設有128位元高級加密標準（AES）軟體支援：LogitechSetPoint鍵盤低平式按鍵鍵盤高度可調整電池：2顆4號AAA電池電池壽命(不可充電)：36個月特殊按鍵：透過「fn」鍵可使用15個功能鍵滑鼠連線/電源：開啟/關閉電源按鈕感應器技術：先進光學追蹤技術電池：1顆4號AA電池電池壽命(不可充電)：12個月●保固資訊1年有限硬體保固●包裝內容鍵盤滑鼠無線接收器使用者文件●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=3889193&mdiv=searchEngine&oid=1_1&kw=羅技
【Logitech 羅技】K380跨平台鍵盤 + M350無線滑鼠,"


1,689元








","
1,689元",●系統需求支援外接鍵盤的無線藍牙電腦或其他裝置（HID規範）。有關詳細資訊，請諮詢裝置製造商。PC：Windows7、Windows8、Windows10或更新版本Mac：MacOS10.10或更新版本ChromeOSAndroid平板電腦或智慧型手機：Android3.2或更新版本iPad或iPhone：iOS5或更新版本AppleTV第2代或第3代網際網路連線(用於下載選用軟體)●尺寸高度:124公釐（4.9英吋）寬度:279公釐（10.9英吋）深度:16公釐（0.6英吋），含腳架重量:423公克（14.92盎司），含電池●技術規格連線類型：標準藍牙(3.0)無線接收範圍：10公尺(30英呎)**無線範圍依環境及計算條件而異電池：2顆4號AAA電池電池壽命：24個月指示燈(LED)：電池電量指示燈，3個藍牙頻道LED指示燈特殊按鍵：熱鍵（歸位、後退、應用程式切換、右鍵功能表）、Easy-Switch連線/電源：開啟/關閉開關●保固資訊1年有限硬體保固●包裝內容鍵盤2顆4號AAA電池（預裝）使用者文件●此為繁體中文版本●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件產品名稱：【PHILIPS飛利浦】3號超鹼電池4顆,https://m.momoshop.com.tw/goods.momo?i_code=7170824&mdiv=searchEngine&oid=1_2&kw=羅技
【Logitech 羅技】K380 多工藍芽鍵盤,"


990元








","
990元",●系統需求支援外接鍵盤的無線藍牙電腦或其他裝置（HID規範）。有關詳細資訊，請諮詢裝置製造商。PC：Windows7、Windows8、Windows10或更新版本Mac：MacOS10.10或更新版本ChromeOSAndroid平板電腦或智慧型手機：Android3.2或更新版本iPad或iPhone：iOS5或更新版本AppleTV第2代或第3代網際網路連線(用於下載選用軟體)●尺寸高度:124公釐（4.9英吋）寬度:279公釐（10.9英吋）深度:16公釐（0.6英吋），含腳架重量:423公克（14.92盎司），含電池●技術規格連線類型：標準藍牙(3.0)無線接收範圍：10公尺(30英呎)**無線範圍依環境及計算條件而異電池：2顆4號AAA電池電池壽命：24個月指示燈(LED)：電池電量指示燈，3個藍牙頻道LED指示燈特殊按鍵：熱鍵（歸位、後退、應用程式切換、右鍵功能表）、Easy-Switch連線/電源：開啟/關閉開關●保固資訊1年有限硬體保固●包裝內容鍵盤2顆4號AAA電池（預裝）使用者文件●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=7065344&mdiv=searchEngine&oid=1_3&kw=羅技
【Logitech 羅技】MK470 超薄無線鍵鼠組,"


1,490元








","
1,490元",●系統需求需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7可搭配Surface使用●尺寸鍵盤高x寬x深：373.5公釐x143.9公釐x21.3公釐重量:558公克(含電池)滑鼠高x寬x深：107公釐x59公釐x126.5公釐重量:100公克(含電池)●技術規格鍵盤：鍵盤電池壽命36個月鍵盤電池類型2顆4號AAA電池滑鼠：感應器技術：高精準光學追蹤技術感應器解析度：1000dpi按鍵數：3滾輪：有-機械式捲動按鍵：中鍵支援Unifying的滑鼠：無支援Unifying的接收器：無滑鼠電池壽命18個月滑鼠電池類型1顆3號AA電池無線操作距離：10公尺*(無線範圍依環境及運算條件而異)無線技術：羅技超小型接收器●包裝內容鍵盤2顆4號AAA電池(已預先安裝)滑鼠1顆3號AA電池(預裝)USB接收器使用者文件●1年有限硬體保固●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=6772741&mdiv=searchEngine&oid=1_4&kw=羅技
【Logitech 羅技】Pebble M350 鵝卵石無線滑鼠,"


699元








","
699元",●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件,https://m.momoshop.com.tw/goods.momo?i_code=6868774&mdiv=searchEngine&oid=1_5&kw=羅技
【贈PHILIPS電池】Logitech 羅技 Pebble M350 鵝卵石無線滑鼠,"
799
",,●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件產品名稱：【PHILIPS飛利浦】3號超鹼電池4顆,https://m.momoshop.com.tw/goods.momo?i_code=7149676&mdiv=searchEngine&oid=1_6&kw=羅技
【Logitech 羅技】迷你型USB無線接受器,"


299元








","
299元",●系統需求羅技Unifying相容裝置Windows10或更新版本、Windows8、Windows7MacOS10.10或更新版本●尺寸Unifying接收器高x寬x深：15公釐x9公釐x6公釐重量:1.23公克●適用羅技商品如M235M238M325M310tM331M350M545M560M570M585M590M705M905MxAnywhere2/2sMxMaster2/2sMXErgoK270K360rK375sK400rK400PlusK580MK270(920-004496舊款)MK330MK520rMK545MK710MK850●保固資訊1年有限硬體保固,https://m.momoshop.com.tw/goods.momo?i_code=5221064&mdiv=searchEngine&oid=1_7&kw=羅技
【Logitech 羅技】C310 HD 網路攝影機,"


849元








","
849元","●系統需求：Windows7,Windows8,Windows10或更新版本macOS10.10或更高版本ChromeOS●基本需求：1GHz512MB以上的RAM200MB硬碟空間網際網路連線USB1.1連接埠(建議使用USB2.0)適用於HD720p視訊通話與HD錄製：2.4GHzIntelCore2Duo2GBRAM200MB硬碟空間USB2.0連接埠1Mbps或更快的上傳速度1280x720螢幕解析度●技術規格產品規格：HD視訊通話(1280X720像素)，使用建議的系統HD視訊拍攝：最高可達1280X720像素羅技FluidCrystal？技術照片：最高可達500萬像素(軟體增強處理)內建具降低雜音功能的麥克風高速USB2.0認證(建議使用)電腦螢幕通用腳架，適用於筆記型電腦、LCD或CRT螢幕羅技網路攝影機軟體：平移、傾斜和縮放控制視訊與照片拍攝臉部追蹤動作偵測需安裝的軟體可於www.logitech.com/downloads網站下載軟體功能與內容可能有所變更。其他服務需要網際網路連線和註冊。部分照片為模擬照。可搭配大多數即時傳訊應用程式使用●保固資訊2年有限硬體保固●包裝內容含1.5公尺連接線的網路攝影機使用者文件",https://m.momoshop.com.tw/goods.momo?i_code=2904028&mdiv=searchEngine&oid=1_8&kw=羅技
【Logitech 羅技】M590 多工靜音無線滑鼠,"


990元








","
990元",●系統需求藍牙必要：藍牙低耗電技術Windows10或更新版本、Windows8MacOSX10.10或更新版本ChromeOSAndroid5.0或更新版本Unifying接收器一個可用的USB連接埠Windows10或更新版本、Windows8、Windows7MacOSX10.05或更新版本ChromeOSLinux●尺寸滑鼠高x寬x深：103公釐x64公釐x40公釐重量（含電池）101公克Unifying接收器高x寬x深：14.9公釐x14.3公釐x6.5公釐重量:1.63公克●技術規格連線類型:BluetoothSmart與2.4GHz無線連線無線傳輸範圍:10公尺*(*視使用方式及運算條件而異。)電池詳細資訊:1顆3號AA電池電池壽命:2年*(*視使用方式及運算條件而異。)感應器技術:羅技先進光學追蹤技術感應器解析度:1000dpi滾輪:有按鍵數:7標準與特殊按鍵:具備中鍵點按功能的傾斜滾輪、EasySwitch手勢支援(Windows):有手勢支援(Mac):有選用軟體:LogitechOptions和LogitechFlow●保固資訊1年有限硬體保固●包裝內容M590滑鼠1顆3號AA電池(預裝)USB接收器使用者文件,https://m.momoshop.com.tw/goods.momo?i_code=5648426&mdiv=searchEngine&oid=1_9&kw=羅技
【Logitech 羅技】MK270r無線鍵鼠組(黑色),"


729元








","
729元","●系統需求Windows個人電腦WindowsVista,WindowsXP,Windows7,Windows8,Windows10ChromeOS●保固資訊3年有限硬體保固●包裝內容鍵盤滑鼠超小型接收器2個4號AAA(鍵盤)和1個3號AA(滑鼠)電池使用者文件●此為繁體中文版本",https://m.momoshop.com.tw/goods.momo?i_code=3539798&mdiv=searchEngine&oid=1_10&kw=羅技
【Logitech 羅技】M186 無線滑鼠,"


499元








","
499元",●系統需求WindowsXP、WindowsVista、Windows7、Windows8、WindowsRT、Window10MacOSX10.5或更新版本LinuxKernel2.6+USB連接埠●尺寸滑鼠（高x寬x深）：99公釐x60公釐x39公釐滑鼠重量（含電池）：75.2公克Unifying接收器尺寸（高x寬x深）：18.7公釐x14.4公釐x6.1公釐接收器重量：1.8公克●保固資訊3年有限硬體保固●包裝內容羅技Ｍ186無線滑鼠超小型USB接收器(在電池蓋打開有寫Logitech使用請拔起來)1顆3號AA電池(預裝)使用者文件●其他注意：M186滑鼠光學感應器為隱藏式光學，不會有紅光或是其他顏色的光線，屬產品設計的正常現象,https://m.momoshop.com.tw/goods.momo?i_code=5071484&mdiv=searchEngine&oid=1_11&kw=羅技
【Logitech 羅技】K120 有線鍵盤,"


259元








","
259元","●系統需求Windows電腦WindowsXP,WindowsVista,Windows7,Windows8,Windows10或更新版本USB連接埠LinuxLinuxkernel2.6+USB連接埠●保固資訊1年有限硬體保固●包裝內容鍵盤使用者文件●此為繁體中文版本",https://m.momoshop.com.tw/goods.momo?i_code=2816572&mdiv=searchEngine&oid=1_12&kw=羅技
【Logitech 羅技】MX Master 3 無線滑鼠,"


3,990元








","
3,990元",●系統需求USB接收器需要：可用的USB連接埠Windows7、Windows8、Windows10或更高版本macOS10.13或更高版本Linux藍牙需要：藍牙低耗電技術Windows8、Windows10或更高版本macOS10.13或更高版本Linux●尺寸MXMaster3滑鼠高x寬x深：51毫米x84.3毫米x124.9毫米重量:141克USB接收器高x寬x深：18.4毫米x14.4毫米x6.6毫米重量:2克●技術規格感應器技術Darkfield高精確度感應器額定值：1000dpiDPI（最小值和最大值）200dpi至4000dpi（能夠以50dpi為增量進行設定）按鈕7個按鈕（左/右鍵、後退/前進、應用程式切換、滾輪模式切換，中鍵點按）滾輪：有，具備自動切換功能拇指輪：有手墊按鈕：有無線操作距離10公尺電池可充電鋰電池（500mAh）一分鐘快速充電可獲得三小時使用電力選用軟體：LogitechOptions和羅技Flow●保固資訊1年有限硬體保固●包裝內容MXMaster3滑鼠USB接收器USB-C充電連接線（USB-A轉USB-C）使用者文件,https://m.momoshop.com.tw/goods.momo?i_code=7039972&mdiv=searchEngine&oid=1_13&kw=羅技
【Logitech 羅技】MX Anywhere 2S 無線滑鼠,"
2,390
","
1,990元",●系統需求USB連接埠及/或低耗電藍芽技術裝置USB連接埠Windows10或更新版本、Windows8、Windows7MacOSX10.10或更新版本或藍芽Windows8或更新版本MacOSX10.10或更新版本下載軟體所需的網際網路連線USB連接埠●技術規格感應器技術：Darkfield高精確度額定值：1000dpi最小值與最大值：200dpito4000dpi(能夠以50dpi為增量進行設定)無線系統：光進的2.4GHz無線技術操作距離：大約10公尺(32英呎)電池：可充電鋰(500mAh)電池電池壽命：完美充電一次最多可使用70天*電池壽命視您的使用方式而異按鍵數：7手勢按鈕：有選用軟體：LogitechOptions●保固資訊1年有限硬體保固●包裝內容MXAnywhere2S無線滑鼠PicoUnifying接收器Micro-USB充電連接線使用者文件●NCC碼CCAI17LP0110T6,https://m.momoshop.com.tw/goods.momo?i_code=7527344&mdiv=searchEngine&oid=1_14&kw=羅技
【Logitech 羅技】MK240 Nano 無線鍵鼠組,"


679元








","
679元",●系統需求Windows10或更新版本、Windows8、Windows7、WindowsVista、WindowsXPChromeOSUSB連接埠下載選用軟體所需的網際網路連線●尺寸鍵盤：高x寬x深：139公釐(5.47英吋)x288公釐(11.34英吋)x21公釐(0.83英吋)重量:312公克(11.0盎司)滑鼠：高x寬x深：60公釐(2.36英吋)x100公釐(3.94英吋)x32公釐(1.26英吋)重量:53公克(1.9盎司)●技術規格鍵盤功能:36個月電池使用壽命鍵盤高度可調整防濺灑設計*2.4GHz無線技術(10公尺範圍)超小型USB接收器*測試是在限制條件下進行(最多60毫升的液體濺灑量)。請勿將鍵盤浸入液體中。滑鼠功能:12個月電池使用壽命簡約合手的外型高解析度光學追蹤(1000dpi)流暢靈敏的游標控制開啟/關閉電源按鈕滾輪●保固資訊3年有限硬體保固●包裝內容無線鍵盤無線滑鼠超小型接收器2個4號AAA(鍵盤)電池和2個4號AAA(滑鼠)電池使用者文件●此為繁體中文版本,https://m.momoshop.com.tw/goods.momo?i_code=4231100&mdiv=searchEngine&oid=1_15&kw=羅技
【Logitech 羅技】Z607 5.1聲道藍芽音箱,"


3,490元








","
3,490元",●系統需求可搭配任何藍芽裝置或具有RCA或3.5mm輸入埠的裝置使用，包括:電視電腦智慧型手機平板電腦音樂播放器DVD播放機遊戲主機可接受最高32GB的SDHC卡與FAT格式化之USB隨身碟的內容(詳細資訊請參閱技術規格)FM廣播電台功能**遊戲主機必需透過RCA連線到電視●尺寸重低音音箱高x寬x深：193公釐x267公釐x297公釐重量:3.33Kg衛星音箱高x寬x深：110公釐x93公釐x178公釐重量:0.42Kg中置音箱高x寬x深：110公釐x93公釐x178公釐重量:0.42Kg遙控器高x寬x深：86公釐x40公釐x6.5公釐重量:16.6g●技術規格總瓦數(RMS):160W尖峰功率/80W重低音音箱:25W衛星音箱:55W(總功率)藍牙4.2:1RCA轉RCA連接線:33.5公釐轉RCA連接線:1SD卡讀卡機:1-支援最高32GB的SDHC卡-支援音訊檔案格式:MP3、WMA、WAV、APE、FLACUSB連接埠:1-支援最高32GB使用FAT16或FAT32格式化的USB隨身碟-支援音訊檔案格式:MP3、WMA、WAV、APE、FLACFM廣播電台:有遙控器:1●保固資訊1年有限硬體保固,https://m.momoshop.com.tw/goods.momo?i_code=6211856&mdiv=searchEngine&oid=1_16&kw=羅技
【Logitech 羅技】C270 HD WebCAM視訊通話攝影機(960-000626),"


699元








","
699元","●系統需求系統需求：Windows7,Windows8,Windows10或更新版本macOS10.10或更高版本ChromeOS基本需求：1GHz512MB以上的RAM200MB硬碟空間網際網路連線USB1.1連接埠(建議使用USB2.0)適用於HD720p視訊通話與HD視訊錄製：2.4GHzIntelCore2Duo2GBRAM200MB硬碟空間USB2.0連接埠1Mbps或更快的上傳速度1280x720螢幕解析度●技術規格產品規格：HD視訊通話(1280x720像素)，使用建議的系統影像擷取解析度：最高可達1280x720像素羅技FluidCrystal？技術照片：最高可達300萬像素(軟體增強處理)內建具降低雜音功能的麥克風高速USB2.0認證(建議使用)電腦螢幕通用腳架，適用於筆記型電腦、LCD或CRT螢幕●羅技網路攝影機軟體：平移、傾斜和縮放控制擷取視訊和拍攝照片臉部追蹤動作偵測軟體功能與內容可能有所變更。其他服務需要網際網路連線和註冊。部分照片為模擬照。相容於大多數即時傳訊應用程式。●保固資訊2年有限硬體保固●包裝內容附帶1.5公尺連接線的網路攝影機使用者文件",https://m.momoshop.com.tw/goods.momo?i_code=7384740&mdiv=searchEngine&oid=1_17&kw=羅技
【Logitech 羅技】K380跨平台鍵盤 + M350無線滑鼠,"


1,689元








","
1,689元",●系統需求支援外接鍵盤的無線藍牙電腦或其他裝置（HID規範）。有關詳細資訊，請諮詢裝置製造商。PC：Windows7、Windows8、Windows10或更新版本Mac：MacOS10.10或更新版本ChromeOSAndroid平板電腦或智慧型手機：Android3.2或更新版本iPad或iPhone：iOS5或更新版本AppleTV第2代或第3代網際網路連線(用於下載選用軟體)●尺寸高度:124公釐（4.9英吋）寬度:279公釐（10.9英吋）深度:16公釐（0.6英吋），含腳架重量:423公克（14.92盎司），含電池●技術規格連線類型：標準藍牙(3.0)無線接收範圍：10公尺(30英呎)**無線範圍依環境及計算條件而異電池：2顆4號AAA電池電池壽命：24個月指示燈(LED)：電池電量指示燈，3個藍牙頻道LED指示燈特殊按鍵：熱鍵（歸位、後退、應用程式切換、右鍵功能表）、Easy-Switch連線/電源：開啟/關閉開關●保固資訊1年有限硬體保固●包裝內容鍵盤2顆4號AAA電池（預裝）使用者文件●此為繁體中文版本●系統需求Windows|Mac|ChromeOS|Linux|可搭配Surface使用●接收器需要：可用的USB連接埠Windows10或更新版本、Windows8、Windows7macOS10.10或更新版本ChromeOSLinuxKernel2.6+●藍牙需要：藍牙低耗電技術Windows10或更新版本、Windows8macOS10.10或更新版本ChromeOS，Android？5.0或更新版本●尺寸滑鼠大小高x寬x深：26.5公釐x59公釐x107公釐重量（含電池）100公克超小型接收器高x寬x深：14.4公釐x18.7公釐x6.1公釐重量:1.8公克●技術規格感應器技術：:高精準光學追蹤技術感應器解析度：:1000dpi按鍵數：:3滾輪：:有-機械式捲動按鍵：:中鍵支援Unifying的滑鼠：:是支援Unifying的接收器：:否電池壽命：:18個月電池類型：:1顆已預先安裝的3號AA電池無線操作距離：:10公尺(無線範圍依環境及運算條件而異)無線技術:羅技接收器或藍牙低耗電技術●保固資訊1年有限硬體保固●包裝內容無線滑鼠超小型接收器1顆3號AA電池(預裝)使用者文件,https://m.momoshop.com.tw/goods.momo?i_code=7681432&mdiv=searchEngine&oid=1_18&kw=羅技
【Logitech 羅技】K100 經典鍵盤,"


249元








","
249元","●系統需求WindowsXP,WindowsVista或Windows7、Windows8或更新版本可用的鍵盤PS/2連接埠●保固資訊1年有限硬體保固●包裝內容鍵盤使用者文件●此為繁體中文版本",https://m.momoshop.com.tw/goods.momo?i_code=2880080&mdiv=searchEngine&oid=1_19&kw=羅技
