標題,媒體,發布日,網址
武漢肺炎拉美延燒阿根廷智利同日淪陷,經濟日報 (新聞發布),7 小時前,https://money.udn.com/money/story/5599/4387447
教宗救得了阿根廷經濟嗎？ （向駿）,亞洲週刊,2020年2月13日,https://www.yzzk.com/article/details/%E4%B8%96%E7%95%8C%E5%8B%95%E6%85%8B/2020-07/1581566080532/%E6%95%99%E5%AE%97%E6%95%91%E5%BE%97%E4%BA%86%E9%98%BF%E6%A0%B9%E5%BB%B7%E7%B6%93%E6%BF%9F%E5%97%8E%EF%BC%9F
IMF代表前往阿根廷準備債務重組會談,中央廣播電台,2020年2月11日,https://www.rti.org.tw/news/view/id/2051317
肺炎疫情衝擊阿根廷對中國進出口貿易,經濟日報 (新聞發布),2020年2月15日,https://money.udn.com/money/story/5599/4348330
新冠肺炎：全球攬炒格！阿根廷經濟支柱正動搖,on.cc東網,2020年2月15日,https://hk.on.cc/hk/bkn/cnt/finance/20200216/bkn-20200216154009275-0216_00842_001.html
台灣2月仍出口千萬片口罩！經濟部指出原因是這個,風傳媒,2 小時前,https://www.storm.mg/article/2359743
阿根廷副總統稱政府或無力償還IMF貸款,臺灣新浪網,2020年2月9日,https://news.sina.com.tw/article/20200209/34178248.html
387億美元債務償還壓力下阿根廷會爆發債務危機嗎？,臺灣新浪網,2020年2月16日,https://news.sina.com.tw/article/20200217/34253236.html
管制出口仍有千萬片輸出經濟部：日本進料的防花粉口罩,中時電子報 (新聞發布),12 小時前,https://www.chinatimes.com/realtimenews/20200303005742-260410
國際財經：阿根廷啟動諮詢IMF程序，或達債務重組協議,Yahoo奇摩股市 (新聞發布),2020年2月23日,https://tw.stock.yahoo.com/news/%E5%9C%8B%E9%9A%9B%E8%B2%A1%E7%B6%93-%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%95%9F%E5%8B%95%E8%AB%AE%E8%A9%A2imf%E7%A8%8B%E5%BA%8F-%E6%88%96%E9%81%94%E5%82%B5%E5%8B%99%E9%87%8D%E7%B5%84%E5%8D%94%E8%AD%B0-002137375.html
IMF警告：阿根廷債務水準「不可持續」 私人債權人恐需承擔損失,鉅亨網財經新聞 (新聞發布),2020年2月19日,https://news.cnyes.com/news/id/4444543
阿根廷政府積欠IMF債務副總統嗆「半毛錢也不還」,經濟日報 (新聞發布),2020年2月9日,https://money.udn.com/money/story/5602/4332957
阿根廷經濟未脫險境,中時電子報 (新聞發布),2019年10月12日,https://www.chinatimes.com/newspapers/20191013000377-260209
【深度解構】全球供應鏈踏入斷裂時代貨櫃也缺？,on.cc東網,2020年2月16日,https://hk.on.cc/hk/bkn/cnt/finance/20200216/bkn-20200216203509687-0216_00842_001.html
拒絕撙節！阿根廷經濟政策再轉向金融市場動盪恐加劇,udn 聯合新聞網,2019年10月28日,https://udn.com/news/story/6811/4131395
专访：投资者对中国经济充满信心——访阿根廷经济学家迭戈·法 ...,新华网,2020年2月19日,http://www.xinhuanet.com/world/2020-02/19/c_1125597367.htm
阿根廷要搞事情？欲提高石油和多农产品出口税率；期市冲高 ...,搜狐,4 小時前,http://www.sohu.com/a/377511612_639898
《國際金融》3個月內第7次，阿根廷央行降息4個百分點,中時電子報 (新聞發布),2020年2月19日,https://www.chinatimes.com/realtimenews/20200220001649-260410
前總統初選大勝阿根廷百年經濟怪局未解,香港01,2019年8月13日,https://www.hk01.com/%E5%88%86%E6%9E%90%E8%A9%95%E8%AB%96/363407/%E5%89%8D%E7%B8%BD%E7%B5%B1%E5%88%9D%E9%81%B8%E5%A4%A7%E5%8B%9D-%E9%98%BF%E6%A0%B9%E5%BB%B7%E7%99%BE%E5%B9%B4%E7%B6%93%E6%BF%9F%E6%80%AA%E5%B1%80%E6%9C%AA%E8%A7%A3
IMF说阿根廷欠的债好商量,搜狐,5 小時前,http://www.sohu.com/a/377507685_146833
《農產品》阿根廷或上調出口關稅CBOT黃豆收高,MoneyDJ理財網,2020年2月26日,https://www.moneydj.com/KMDJ/News/NewsViewer.aspx?a=518db0da-fe7f-4a78-92ef-6f30bf7d1753
【阿根廷經濟被民粹摧毀】8 月股市一度瀉48%！阿國經濟轉衰 ...,TechOrange 科技報橘 (新聞發布) (網誌),2019年8月18日,https://buzzorange.com/2019/08/19/how-argentina-politician-made-its-economy-this-bad/
【一周論金融】阿根廷經濟史,大紀元時報-香港 (新聞發布),2020年1月28日,http://hk.epochtimes.com/news/2020-01-29/76524367
【全球攬炒】阿根廷恐債災歐美日等衰退澳洲失業升,on.cc東網,2020年2月20日,https://hk.on.cc/hk/bkn/cnt/finance/20200220/bkn-20200220111708638-0220_00842_001.html
新興經濟體大學排行榜台大排名第8,新頭殼,2020年2月18日,https://newtalk.tw/news/view/2020-02-19/368822
武漢肺炎衝擊阿根廷台商也遭拖累(圖),Yahoo奇摩新聞 (新聞發布),2020年2月27日,https://tw.news.yahoo.com/%E6%AD%A6%E6%BC%A2%E8%82%BA%E7%82%8E%E8%A1%9D%E6%93%8A-%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%8F%B0%E5%95%86%E4%B9%9F%E9%81%AD%E6%8B%96%E7%B4%AF-%E5%9C%96-012916208.html
川普電賀阿根廷新總統籲IMF合作債務協商,中央廣播電台,2019年11月3日,https://www.rti.org.tw/news/view/id/2040146
巴西與巴拉圭簽汽車自貿協定利雙方經濟與就業,中央廣播電台,2020年2月11日,https://www.rti.org.tw/news/view/id/2051284
阿根廷總統當選人表就職後即放棄IMF紓困餘額110億美元,RFI - 法國國際廣播電台,2019年11月27日,http://www.rfi.fr/tw/%E7%BE%8E%E6%B4%B2/20191127-%E9%98%BF%E6%A0%B9%E5%BB%B7%E7%B8%BD%E7%B5%B1%E7%95%B6%E9%81%B8%E4%BA%BA%E8%A1%A8%E5%B0%B1%E8%81%B7%E5%BE%8C%E5%8D%B3%E6%94%BE%E6%A3%84imf%E7%B4%93%E5%9B%B0%E9%A4%98%E9%A1%8D110%E5%84%84%E7%BE%8E%E5%85%83
忍無可忍！美國取消對中國等多國WTO「開發中國家」優惠,自由時報電子報,2020年2月10日,https://ec.ltn.com.tw/article/breakingnews/3064163
