name,price,Original_price,star,reviews,sold,stock,seller,seller_link,seller_from,category,brand,description,URL
Genius KB 110 USB keyboard,₱450,,4.5,4,5,Quantity5 piece available,cccmain,https://ph.xiapibuy.com/cccmain,"Karuhatan, Valenzuela City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"Genius KB110 USB Keyboard
OS Support Windows 2000/XP/XP x64/Vista
Interface Support USB
Water Spills Yes",https://ph.xiapibuy.com//Genius-KB-110-USB-keyboard-i.20959443.1942109074
PreferredGenius Mouse PS2 DX-110,₱150,₱170,5.0,7,34,Quantity17 piece available,ph.essentials,https://ph.xiapibuy.com/ph.essentials,"Cambaro, Mandaue City, Visayas, Cebu",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Buttons Qty 3
Orientation right and left-handed

Connectivity Technology wired
Interface PS/2
Movement Detection Technology optical
Movement Resolution 1000 dpi
Buttons Qty 3
Product Type Mouse

#mouse #home #office #useful #ps2 #genius",https://ph.xiapibuy.com//Genius-Mouse-PS2-DX-110-i.5288978.201473097
Genius DX-125 USB Optical Mouse,₱233,,5.0,1,1,Quantity9 piece available,pccornersmsanlazaro,https://ph.xiapibuy.com/pccornersmsanlazaro,"Barangay 352, Santa Cruz, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Specification
System requirements

Windows 7, 8, 8.1, 10
Mac OS 10.7.4 or later
USB Port
Specifications

Sensor engine	Optical
Cable length	1.5m
Number of buttons	3 (left, right, middle button with scroll)
Colors	Black, White
Weight	85 g
Resolution (DPI)	1000
Dimensions (W x H x D)	105 x 37 x 60 mm
What's included

DX-125",https://ph.xiapibuy.com//Genius-DX-125-USB-Optical-Mouse-i.190204037.7218403785
genius media pointer 100 wireless presenter,"₱1,173",,5.0,1,1,Quantity1 piece available,pccornersmsanlazaro,https://ph.xiapibuy.com/pccornersmsanlazaro,"Barangay 352, Santa Cruz, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Product Overview
2.4GHz wireless technology with 10m range
User friendly 5 button design
Micro USB receiver stores inside presenter
Integral laser pointer
Plug and play USB interface
Supports Win XP/Vista/7
Dimensions (HxWxD): 18x38x105mm
Contents
Presenter, USB receiver, 2x AAA batteries and user guide",https://ph.xiapibuy.com//genius-media-pointer-100-wireless-presenter-i.190204037.6318160534
Genius KM110X PS/2 Combo Keyboard with Mouse,₱530,,5.0,2,6,Quantity32 piece available,cccmain,https://ph.xiapibuy.com/cccmain,"Karuhatan, Valenzuela City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"Genius KM110X PS/2 Combo Keyboard with Mouse

Value desktop combo
KM-110X from Genius combines a comfortable keyboard and optical mouse as a value added entry level kit. The black keyboard has 104/105/106 compatible keys enhances your Windows layout. The low-profile keycap structure provides an excellent touch and the water resistant function prevents against accidental drink spillages. The mouse features an 800 dpi optical sensor for great movement without worrying about any dust accumulation.
System Requirements
Windows® 10/8/7/Vista/XP
IBM/Pentium PC compatible or higher
Available PS2 model",https://ph.xiapibuy.com//Genius-KM110X-PS-2-Combo-Keyboard-with-Mouse-i.20959443.1942223472
PreferredGenius NX-7015 Wireless Stylish Mouse - Metallic Chocolate,₱391,₱630,5.0,43,95,Quantity47 piece available,playbookstore,https://ph.xiapibuy.com/playbookstore,"Barangay 157, Pasay City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"ORIGINAL AND BRAND NEW!

SYSTEM REQUIREMENTS
• Windows 7, 8, 8.1, 10
• Mac OS X 10.8 or later
• USB Port

SPECIFICATIONS: 
• RF Frequency: 2.4 GHz
• Number of buttons: 3 (left, right, middle button with scroll)
• Resolution (DPI): 800 / 1200 / 1600
• Sensor engine: BlueEye
• Color: chocolate
• Weight: 57 g (includes receiver)
• Dimensions (W x H x D): 58 x 100 x 38.5 mm (2.28 x 3.94 x 1.52 inches)

PACKAGE CONTENTS
• NX-7015
• USB Pico receiver
• AA alkaline battery
• Multi-language user manual
------------------------------------------------------------------------------------------------------------------------------------------------------------------
WARRANTY: 
• 1 Year Local Supplier Warranty
• All shipping fees shall be shouldered by the buyer. 
• Kindly send us a message on how to claim the warranty.

IMPORTANT:
Please limit your cart to 4 pcs. of Genius NX-7015 Wireless Stylish Mouse per checkout. Do not include any other items from the same seller in the same cart. The courier has a limit on the dimension of the item to support Shopee's Delivery Promo. Any order that exceeds the limit of the courier will be canceled. Shipping Fees may apply for selected locations. Check the Shopee Help section for more info.

#theplaybookstore #playbook #genius #nx7015 #wireless #mouse #original #brandnew #legit #legitseller",https://ph.xiapibuy.com//Genius-NX-7015-Wireless-Stylish-Mouse-Metallic-Chocolate-i.25952313.408378530
PreferredGenius NX-7000 2.4GHz Wireless Mouse,₱318 - ₱451,₱460,4.9,451,941,Quantity136 piece available,playbookstore,https://ph.xiapibuy.com/playbookstore,"Barangay 157, Pasay City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"BRAND NEW AND ORIGINAL!

YSTEM REQUIREMENTS
• Windows 7, 8, 8.1, 10
•  Mac OS X 10.8 or later
• USB Port

SPECIFICATIONS
• RF Frequency: 2.4 GHz
• Number of buttons: 3 (left, right, middle button with scroll)
• Resolution (DPI): 1200
• Sensor engine: BlueEye
• Colors: Calm black, Elegant white, Ocean blue, Passion red, Spring green
• Weight: 79g (includes receiver)
• Dimensions (W x H x D): 58 x 100 x 39 mm (2.28 x 3.94 x 1.54 inches)

PACKAGE CONTENTS
• NX-7000
• USB Pico receiver
•  AA alkaline battery
• Multi-language user manual
• 1 Year Warranty
------------------------------------------------------------------------------------------------------------------------------------------------------------------
WARRANTY: 
• 1 Year Local Supplier Warranty
• All shipping fees shall be shouldered by the buyer. 
• Kindly send us a message on how to claim the warranty.

IMPORTANT:
Please limit your cart to 6 pcs. of Genius NX-7000 2.4GHz Wireless Mouse per checkout. Do not include any other items from the same seller in the same cart. The courier has a limit on the dimension of the item to support Shopee's Delivery Promo. Any order that exceeds the limit of the courier will be canceled. Shipping Fees may apply for selected locations. Check the Shopee Help section for more info.

#theplaybookstore #playbook #genius #NX7000 #wireless #mouse  #brandnew #original #legit #legitseller",https://ph.xiapibuy.com//Genius-NX-7000-2.4GHz-Wireless-Mouse-i.25952313.378957832
Genius SP-U115 USB Powered Speakers ( BLACK ),₱340,,,,1,Quantity14 piece available,startnet_joyo,https://ph.xiapibuy.com/startnet_joyo,"Santo Nino, Paranaque City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"SPECIFICATION:
• RMS (Watts): 1
• Driver unit-Satellite: 50 x 50 mm, 8 ohm
• Signal-to-Noise Ratio: 80dB
• Frequency Response: 200 Hz~18K Hz
• Power Source: USB
• Volume Control: YES
• Headphone Jack: YES

WHAT'S INCLUDED:
• Two speakers
• Multi-language user’s manual

#BESTSELLER 
#COD",https://ph.xiapibuy.com//Genius-SP-U115-USB-Powered-Speakers-(-BLACK-)-i.216992178.6915149574
MOUSE GENIUS DX-125 BLACK WIRED USB TYPE,₱180,,,,0,Quantity10 piece available,dongski43,https://ph.xiapibuy.com/dongski43,"Barangay 12 (Pob.), Ormoc City, Visayas, Leyte",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"GENIUS DX-125 BLACK WIRED USB TYPE

                Smooth and comfortable touch feel       Great for either hand              Windows and MacOS compatible

Specifications

Sensor engine	Optical
Cable length	1.5m
Number of buttons	3 (left, right, middle button with scroll)
Colors	Black, White
Weight	85 g
Resolution (DPI)	1000",https://ph.xiapibuy.com//MOUSE-GENIUS-DX-125-BLACK-WIRED-USB-TYPE-i.225424611.6832498272
Genius / A4Tech Keyboard,₱120,,,,0,Quantity3 piece available,gracekristine,https://ph.xiapibuy.com/gracekristine,"Cuta, Batangas City, South Luzon, Batangas",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"Used Genius and A4Tech Keyboard
PS/2 port
good working condition
Strictly no return!
Will test before shipping.


",https://ph.xiapibuy.com//Genius-A4Tech-Keyboard-i.45816436.6735357888
Genius Optical USB Mouse (503) CMY,₱110,,,,0,Quantity100 piece available,xplayiloilo,https://ph.xiapibuy.com/xplayiloilo,"Yulo-Arroyo, Iloilo City, Visayas, Iloilo",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"System Requirements:

IBM PC Pentium 233

Compatible or higher

Windows XP/Me/2009/98

USB port

Black",https://ph.xiapibuy.com//Genius-Optical-USB-Mouse-(503)-CMY-i.148802542.6537513029
GENIUS SPEAKER USB SOUNDBAR 100,₱799,,,,0,Quantity5 piece available,kdf14,https://ph.xiapibuy.com/kdf14,"Poblacion Ilawod, Passi City, Visayas, Iloilo",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"Specifications

Total output power (W)2 x 3 W (6 W)

Driver unit2″

ConnectionUSB

Sensitivity600mv ± 100mv

Impedance3 Ω

Frequency response110HZ ~ 20KHz

Volume controlYES

Audio input3.5 mm jack

Dimensions (W x H x D)320 x 65 x 70 mm ( 12.60 x 2.56 x 2.76 inches)

Weight476.5 g

Color: Black

Description

Ultra-Compact Design

The slim outlook design makes the speaker more fashionable. The sleek speaker is engineered to save space and enhance your desk setting.

Powerful Sound

Excellent sound quality. It’s distortion-free at maximum volume and loud enough to ﬁll a large rooms

Easy to Use

USB plug and play, no need for batteries or a power cord.
Works with any device that has a standard 3.5mm jack.

Built-in Volume Control

In-line volume control to adjust the volume easily.

",https://ph.xiapibuy.com//GENIUS-SPEAKER-USB-SOUNDBAR-100-i.129140220.6237222974
Free Shipping COD Brandnew Genius SP906BT Portable Bluetooth Speaker Loud and Extra Bass,"₱1,499","₱3,000",,,0,Quantity1 piece available,fashion_eshop.manila,https://ph.xiapibuy.com/fashion_eshop.manila,"Barangay 131, Caloocan City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"Genius SP-906BT speaker specs:

Drivers: 40 mm single dynamic (3 watts)
Frequency response: 100 Hz - 20 KHz
Battery: 500 mAh Li-Pol
Connectivity: Bluetooth 4.1, HSP, HFP, A2DP, AVRCP, 3.5 mm
Dimensions: 87.7 x 80 x 45.1 mm
Weight: 144 g

Pros: Solid build and Good Sound
Bottomline: If you need a speaker to fulfill your daily dose of personal music then Genius SP-906BT speaker is sufficient for you. The audio quality is good even at full volume


All items posted are currently available!

HOW TO ORDER? 

1. Add the item to your cart (apply shopee free shipping code, other shopee promo codes or use our very own shop promo codes: 
FASH25 (min spend 750), FASH50 (min spend 1k), FASH75 (min spend 1500), FASH100 (min spend 2k)
2. Proceed to checkout 
3. For cash on delivery option, kindly choose xpost integrated or ninja van integrated
Xpost integrated: 1-2 days delivery for metro manila, 2-3 days for provincial
Ninja van integrated: 1-3 days delivery for metro manila, 3-4 days for provincial
4. Input complete name, cellphone number, and delivery address. (For COD, only door to door delivery is allowed)

We will notify you once order has been verified and update you regarding order/delivery status. 

Once order is completed, kindly click ""order received"" to initiate transfer of payment to us and kindly leave us a rating ⭐️⭐️⭐️⭐️⭐️

Hoping for a smooth and hassle free transaction! 

Feel free to chat me anytime for discounts/offers/further inquiries!

Free Shipping for orders worth 500 and up.
50% off shipping fee for orders worth 250-499.

Cash on delivery nationwide! 

#cod #freeshippingph #freeshippingnationwide #muraph #sulitph #promoph #grocery #groceryph #groceryitemsph #clothesph #gadgetph #cellphoneph #onlineshoppingph #shoes #bags #wallets #sandals #clothes",https://ph.xiapibuy.com//Free-Shipping-COD-Brandnew-Genius-SP906BT-Portable-Bluetooth-Speaker-Loud-and-Extra-Bass-i.6619964.5434320728
GENIUS SPEAKER SP-U115,₱675,,,,0,Quantity20 piece available,kdf14,https://ph.xiapibuy.com/kdf14,"Poblacion Ilawod, Passi City, Visayas, Iloilo",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"Specifications

Total output3 W

Driver unit50mm

Power supplyUSB plug to laptop or PC computers

Volume controlYES

Audio input3.5mm

Front panel optionGlossy front, Matte cover

ColorsBlack, Rubby red, Sapphire blue, Grass white

Weight400g

Dimensions (W x H x D)70 x 111 x 70mm (2.76 x 4.37 x 2.76 inches)

",https://ph.xiapibuy.com//GENIUS-SPEAKER-SP-U115-i.129140220.5237203647
KEYBOARD GENIUS KB100 BLACK WIRED USB TYPE,₱310,,,,0,Quantity20 piece available,dongski43,https://ph.xiapibuy.com/dongski43,"Barangay 12 (Pob.), Ormoc City, Visayas, Leyte",CategoryShopeeLaptops & ComputersComputer AccessoriesKeyboards,Genius,"CUSTOMIZE TO YOUR NEEDS,
THE WAY YOU NEED THEM...
UP EFFICIENCIES BY 20~30% OR MORE...
You can customize any of the 12 function keys to launch applications, visit websites, enable multimedia, send emojis, create app internal shortcut. With a touch of a single button command, it can also bring out your often used words or phrases.

Convenience & Efficiency are just one single keystroke away!

Specification:

System requirements

Windows 7, 8, 8.1, 10 or later
Mac OS X 10.8 or later
USB port

Specifications

Keycap type	Concave
Cable length	1.5 M
Genius Key support	YES
Customizable Function Keys	F1~F12
Smart Engine (SmartGenius)	YES
Visual Function Key Bar Virtual	YES
Function Key	YES
App Profile support	YES
SmartGenius support	Yes, SmartGenius App Download at: http://www.geniusnet.com/download
Remark :
* The product hardware and firmware is factory preset. You can adjust the settings to meet your demand.
For a firmware update, you can check our website.
Weight	Approx. 450 g
Dimensions (W x H x D)	440.51 x 139.67 x 20.07 mm (17.34 x 5.50 x 0.79 inches)
Colors	Black
*Product color and images shown on the package are for reference ONLY. For actual items, refer to the physical goods contained herein.",https://ph.xiapibuy.com//KEYBOARD-GENIUS-KB100-BLACK-WIRED-USB-TYPE-i.225424611.4832477848
Genius GX Gaming Mousepad,₱280,,,,0,Quantity1 piece available,saolmatt,https://ph.xiapibuy.com/saolmatt,"San Andres (Pob.), Cainta, South Luzon, Rizal",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse Pads,Genius,"GENIUS GX Gaming  GX-Control 
FPS Soft Gaminy Mouse Pad
Darklight Edition

Size :450x370x3mm

Package contents
GX-control Gaming Mousepad
Binding Strap
Multi - Language User Guide

Features:
Non-slip
Low temperature heat-treated material
Improves performance
Heavily textured sirface
Precision trim overstitch edges
High-grip natural rubber base",https://ph.xiapibuy.com//Genius-GX-Gaming-Mousepad-i.101606686.4732510554
Genius Optical USB Mouse (503) CMY,₱110,,,,0,Quantity100 piece available,tian_ph,https://ph.xiapibuy.com/tian_ph,"Yulo-Arroyo, Iloilo City, Visayas, Iloilo",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"System Requirements:

IBM PC Pentium 233

Compatible or higher

Windows XP/Me/2009/98

Mouse port:USB",https://ph.xiapibuy.com//Genius-Optical-USB-Mouse-(503)-CMY-i.182923610.3737757833
GX Gaming Maurus Black,₱750,,,,0,Quantity2 piece available,saolmatt,https://ph.xiapibuy.com/saolmatt,"San Andres (Pob.), Cainta, South Luzon, Rizal",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"GX Gaming Maurus Black 
FPS/RTS Gaming Mouse

6400 Frame Rate
20G Acceleration
60 IPS Velocity
3500 DPI (450/900/1800/3500)

1.8 meter Braided USB cable wil GOLD PLATED connector

Extra foot pad set

Two instant macro shift buttons

Built-in 20gram metal weight

User defined brightness and pulsation

Frame rate - 6400 fps
Acceleration - 20Gs
Det3ction Level - 1-5mm
Sleep Mode - OFF

PROFESSIONAL GAME GEAR FOR first person shooter games.",https://ph.xiapibuy.com//GX-Gaming-Maurus-Black-i.101606686.3432723643
"Genius EasyPen i405x Graphic Tablet drawing tablet 4""x5.5""","₱1,099",,,,0,Quantity1 piece available,syj28,https://ph.xiapibuy.com/syj28,"Barangay 364, Santa Cruz, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer Accessories,Genius,"System requirements:
-windows 10/8/7/vista/xp or mac os x 10.5/10.6/10.7/10.8
-intel/amd processor 1.5ghz or above
-available usb port
-cd/dvd-rom driver for driver installation

Specifications:
-working area of 4""x5.5""
-Pressure level of 1024
-resolution 2560 LPI
-Max report rate pf 125 points /sec
-accuracy of. 25mm
-aaa battery for cordless pen

Package contents:
-easypen i405x tablet
-cordless pen with aaa battery 
-cd installer
-2 extra new pen tips/nibs",https://ph.xiapibuy.com//Genius-EasyPen-i405x-Graphic-Tablet-drawing-tablet-4-x5.5--i.43460885.3150377241
Genius Ergonomic Stylish Wireless Mouse w/ BlueEye Sensor Technology - Ocean Blue,₱475,,,,0,Quantity1 piece available,hunter.a,https://ph.xiapibuy.com/hunter.a,"Barangay 492, Sampaloc, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Genius Wireless Mouse

Warranty Period: 1 year
Purchased Date: 5/11/19

* Ergonomic design that provides maximum comfort all-day for either hand
* BlueEye Sensor Technology - Track on almost any surface with amazing tracking accuracy
* With Pico Receiver Storage in the bottom of the mouse where you can store the receiver
* Pico receiver unifies your Genius mice
* Smart Genius: Create a mouse by adjusting DPI levels and other performance settings with your preference

----------
System Requirements
----------
Windows 7, 8, 8.1, 10
Mac OS X 10.8 or later
USB Port
One AA battery

----------
Specifications
----------
Model		          : NX-7000
RF Frequency	  : 2.4 GHz
Number of buttons: 3 (left, right, middle button with scroll)
Resolution (DPI)     : 1200
Sensor engine	  : BlueEye
Color                        : Ocean Blue

----------
Package Content
----------
NX-7000
USB Pico receiver
AA alkaline battery
Multi-language quick guide

#ergonomic #genius #mouse #comfort #bluetooth #wireless #gaming #game #design ",https://ph.xiapibuy.com//Genius-Ergonomic-Stylish-Wireless-Mouse-w-BlueEye-Sensor-Technology-Ocean-Blue-i.28960708.3114258129
iSHOPiffy EasyPen i405X,"₱1,688",,,,0,Quantity1 piece available,ishopiffy,https://ph.xiapibuy.com/ishopiffy,"Manuyo Dos, Las Pinas City, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer Accessories,Genius,"Description:
EasyPen i405X: 4” x 5.5” working area for drawing and handwriting. 1024-level pressure sensitivity for all shapes and thickness control. Make handwriting notes/drawings efficiently in email, MSN, documents, or any application program. Pen clip design for easy storage
Features:
   🖊Digital Pen-Accuracy  :  ±0.25 mm
   🖊Report Rates (RPS)  :  100
   🖊Resolution(LPI)  : 2560 LPI
   🖊Wide/4:3 Screen  :  4:03
   🖊Active area  : 4” x 5.5”
   🖊Interface  :  USB

System Requirements:
   📌IBM PC/ Pentium 233 compatible or higher
  📌Windows 7 / XP / Vista
  📌Macintosh with OS X 10.3.5 or later
  📌Available USB port
 📌CD/DVD-ROM drive for software installation

 Package Content:
   ☀️EasyPen i405X tablet
   ☀️Cordless pen
    ☀️Software 
    * Paint Net/Pen ToolBar
    * Driver for Windows & Mac
    * Electronic users’ manual
    * Two Pen tips
* AAA battery for cordless pen
* Multi-language quick guide

*Used Once.
",https://ph.xiapibuy.com//iSHOPiffy-EasyPen-i405X-i.31089441.2675419813
Genius SP-906BT Outdoor Portable Bluetooth Speaker (Blue),"₱1,850",,,,0,Quantity7 piece available,unicomdc,https://ph.xiapibuy.com/unicomdc,"Bayanan, Bacoor, South Luzon, Cavite",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"Genius SP-906BT Outdoor Portable Bluetooth Speaker
1 Year Warranty!

Bluetooth 4.1 Wireless Ready
5 hour play time, built in battery
Great Sound Quality and Deep Bass Performance
Compact Size
Convenient hands free calls

#genius #speaker 
",https://ph.xiapibuy.com//Genius-SP-906BT-Outdoor-Portable-Bluetooth-Speaker-(Blue)-i.151592928.2292611001
Genius SP-U115 Black,₱400,,,,0,Quantity20 piece available,dnjsupplies,https://ph.xiapibuy.com/dnjsupplies,"Barangay 291, Binondo, Metro Manila, Metro Manila",CategoryShopeeLaptops & ComputersComputer AccessoriesSpeakers,Genius,"Specifications

Total output	3 W
Driver unit	50mm
Power supply	USB plug to laptop or PC computers
Volume control	YES
Audio input	3.5mm
Front panel option	Glossy front, Matte cover
Colors	Black, Rubby red, Sapphire blue, Grass white
Weight	400g
Dimensions (W x H x D)	70 x 111 x 70mm (2.76 x 4.37 x 2.76 inches)",https://ph.xiapibuy.com//Genius-SP-U115-Black-i.47862040.2272425293
Genius DX-110 Wired Mouse,₱150,,,,0,Quantity100 piece available,bizmatech,https://ph.xiapibuy.com/bizmatech,"Ibabao-Estancia, Mandaue City, Visayas, Cebu",CategoryShopeeLaptops & ComputersComputer AccessoriesMouse,Genius,"Sensor engine	Optical
Cable length	1.5m
Number of buttons	3 (left, right, middle button with scroll)
Colors	Calm black, Elegant white, Ocean blue, Passion red, Spring green
Weight	85 g
Dimensions (W x H x D)	60 x 105 x 37 mm (2.36 x 4.13 x 1.46 inches)
Resolution (DPI)	1000",https://ph.xiapibuy.com//Genius-DX-110-Wired-Mouse-i.23145560.2082213446
