本週,上週,片名,上映日期,預告片,網友滿意度
1,,雙子殺手,2019-10-23,https://movies.yahoo.com.tw/video/%E9%9B%99%E5%AD%90%E6%AE%BA%E6%89%8B-%E5%8A%87%E6%9C%AC%E9%81%8E%E6%99%82-%E6%9D%8E%E5%AE%89%E8%BF%BD%E6%B1%82%E7%9A%84%E9%AB%98%E5%B9%80%E6%95%B8%E6%9C%AA%E4%BE%86%E9%9B%BB%E5%BD%B1-%E9%87%8D%E9%9B%B7%E5%BD%B1%E8%A9%95-%E9%83%A8%E9%95%B7%E8%A9%95%E9%9B%BB%E5%BD%B1-090239707.html,3.9
2,1,黑魔女2,2019-10-17,https://movies.yahoo.com.tw/video/%E9%BB%91%E9%AD%94%E5%A5%B3%E5%B9%95%E5%BE%8C%E5%86%B7%E7%9F%A5%E8%AD%98-%E8%A7%92%E8%89%B2%E8%A8%AD%E8%A8%88%E9%9D%88%E6%84%9F%E6%BA%90%E8%87%AA%E9%85%8D%E9%9F%B3%E5%93%A1%E6%9C%AC%E4%BA%BA-073828577.html,4.1
3,2,小丑,2019-10-03,https://movies.yahoo.com.tw/video/%E5%B0%8F%E4%B8%91-%E5%96%9C%E5%8A%87%E5%B0%B1%E6%98%AF%E5%88%A5%E4%BA%BA%E7%9A%84%E6%82%B2%E5%8A%87-%E7%84%A1%E9%9B%B7%E5%BD%B1%E8%A9%95-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-160000313.html,4.5
4,,陪你很久很久,2019-10-25,https://movies.yahoo.com.tw/video/%E9%99%AA%E4%BD%A0%E5%BE%88%E4%B9%85%E5%BE%88%E4%B9%85-%E8%B6%A3%E5%91%B3%E5%BD%A9%E8%9B%8B%E7%AF%87%E8%8A%B1%E7%B5%AE-132213764.html,4
5,3,返校,2019-09-20,https://movies.yahoo.com.tw/video/%E8%BF%94%E6%A0%A1-400%E7%A7%92%E5%B8%B6%E4%BD%A0%E5%9B%9E%E9%A1%A7%E9%9B%BB%E5%BD%B1%E5%8E%9F%E5%9E%8B%E6%95%85%E4%BA%8B-xxy-111923492.html,4.3
6,,金翅雀,2019-10-25,https://movies.yahoo.com.tw/video/%E9%87%91%E7%BF%85%E9%9B%80-%E6%9C%80%E6%96%B0%E9%A0%90%E5%91%8A-075452876.html,3.9
7,5,聖人大盜,2019-10-18,https://movies.yahoo.com.tw/video/%E8%81%96%E4%BA%BA%E5%A4%A7%E7%9B%9C-30%E7%A7%92%E9%A0%90%E5%91%8A-143129698.html,4.4
8,4,弒婚遊戲,2019-10-09,https://movies.yahoo.com.tw/video/%E5%BC%92%E5%A9%9A%E9%81%8A%E6%88%B2-%E6%8F%AD%E9%96%8B%E7%A5%9E%E7%A7%98%E5%B9%95%E5%BE%8C%E5%9C%98%E9%9A%8A-103721678.html,3.9
9,7,天氣之子,2019-09-12,https://movies.yahoo.com.tw/video/%E7%84%A1%E9%9B%B7%E5%BD%B1%E8%A9%95-%E5%A4%A9%E6%B0%A3%E4%B9%8B%E5%AD%90-%E8%A8%BB%E5%AE%9A%E8%A9%95%E5%83%B9%E5%85%A9%E6%A5%B5%E7%9A%84%E5%8B%95%E7%95%AB%E9%9B%BB%E5%BD%B1-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-030333793.html,4.2
10,,失憶的總理大臣,2019-10-25,https://movies.yahoo.com.tw/video/%E5%A4%B1%E6%86%B6%E7%9A%84%E7%B8%BD%E7%90%86%E5%A4%A7%E8%87%A3-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-122854501.html,4.2
11,,THUNDERBOLT FANTASY 生死一劍,2017-12-08,https://movies.yahoo.com.tw/video/thunderbolt-fantasy%E7%94%9F%E6%AD%BB-%E5%8A%8D-%E7%89%87%E5%A0%B4%E7%AF%87-060118205.html,4.1
12,8,盲人律師,2019-10-18,https://movies.yahoo.com.tw/video/%E7%9B%B2%E4%BA%BA%E5%BE%8B%E5%B8%AB-%E9%95%B7%E7%89%88%E9%A0%90%E5%91%8A-122402318.html,3.9
13,,電影版 吹響吧！上低音號～誓言的終章～,2019-10-23,https://movies.yahoo.com.tw/movieinfo_main/%E6%B5%B7%E7%8D%B8%E4%B9%8B%E5%AD%90-children-of-the-sea-10263,4.4
14,10,海獸之子,2019-10-09,https://movies.yahoo.com.tw/video/%E6%B5%B7%E7%8D%B8%E4%B9%8B%E5%AD%90-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-134934138.html,4.1
15,,Thunderbolt Fantasy 西幽玹歌,2019-10-25,https://movies.yahoo.com.tw/video/%E8%A5%BF%E5%B9%BD%E7%8E%B9%E6%AD%8C-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-053315107.html,4.4
16,,狙擊獵殺: 救援行動,2019-10-25,https://movies.yahoo.com.tw/video/%E7%8B%99%E6%93%8A%E7%8D%B5%E6%AE%BA-%E6%95%91%E6%8F%B4%E8%A1%8C%E5%8B%95-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-071805250.html,4
17,6,藍波:最後一滴血,2019-10-09,https://movies.yahoo.com.tw/video/%E8%97%8D%E6%B3%A2-%E6%9C%80%E5%BE%8C-%E6%BB%B4%E8%A1%80-%E5%88%B0%E5%BA%95%E8%A6%81%E6%B5%81%E5%B9%BE%E6%BB%B4%E8%A1%80-xxy%E8%A9%95%E9%9B%BB%E5%BD%B1-041730541.html,4.1
18,9,屍樂園：髒比雙拼,2019-10-09,https://movies.yahoo.com.tw/video/%E5%B1%8D%E6%A8%82%E5%9C%92-%E9%AB%92%E6%AF%94%E9%9B%99%E6%8B%BC-%E7%81%AB%E7%87%92%E6%AE%AD%E5%B1%8D%E5%A4%A7%E6%88%B0-150534392.html,3.8
19,12,壞壞萌雪怪,2019-10-04,https://movies.yahoo.com.tw/video/%E5%A3%9E%E5%A3%9E%E8%90%8C%E9%9B%AA%E6%80%AA-%E8%8B%B1%E6%96%87%E7%89%88%E9%85%8D%E9%9F%B3%E7%AF%87-032755812.html,3.8
20,11,江湖無難事,2019-10-09,https://movies.yahoo.com.tw/video/%E6%B1%9F%E6%B9%96%E7%84%A1%E9%9B%A3%E4%BA%8B-%E9%BB%91%E5%B9%AB%E7%AF%87%E8%8A%B1%E7%B5%AE-091433262.html,4.3
